,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,web_name
0,69,2,BUR,2,False,2021-08-14T14:00:00Z,1.0,2.0,1,90,0,0,0,1,0,0,0,0,0,2,0,19,20.0,10.0,0.0,3.0,45,0,1701303,0,0,Sánchez
1,69,12,WAT,6,True,2021-08-21T16:30:00Z,2.0,0.0,2,90,0,0,1,0,0,0,0,0,0,1,0,23,12.4,0.0,0.0,1.2,45,6720,1781897,54177,47457,Sánchez
2,69,22,EVE,2,True,2021-08-28T14:00:00Z,0.0,2.0,3,90,0,0,0,2,0,0,0,0,0,3,0,17,22.4,0.0,0.0,2.2,45,31641,1839826,88721,57080,Sánchez
3,69,32,BRE,6,False,2021-09-11T14:00:00Z,0.0,1.0,4,90,0,0,1,0,0,0,0,0,0,1,0,23,11.6,0.0,0.0,1.2,45,114969,1994204,319456,204487,Sánchez
4,69,42,LEI,1,True,2021-09-19T13:00:00Z,2.0,1.0,5,90,0,0,0,1,0,0,0,1,0,2,0,8,11.0,0.0,0.0,1.1,45,71818,2081580,164827,93009,Sánchez
5,69,54,CRY,2,False,2021-09-27T19:00:00Z,1.0,1.0,6,90,0,0,0,1,0,0,0,1,0,2,1,19,20.0,10.0,0.0,3.0,46,21095,2113031,68687,47592,Sánchez
6,69,61,ARS,6,True,2021-10-02T16:30:00Z,0.0,0.0,7,90,0,0,1,0,0,0,0,0,0,2,0,25,21.0,0.0,0.0,2.1,46,-95879,2014794,22487,118366,Sánchez
7,69,78,NOR,6,False,2021-10-16T14:00:00Z,0.0,0.0,8,90,0,0,1,0,0,0,0,0,0,2,0,25,14.8,0.0,0.0,1.5,46,-20991,2016052,69759,90750,Sánchez
8,69,83,MCI,4,True,2021-10-23T16:30:00Z,1.0,4.0,9,90,0,0,0,4,0,0,0,0,0,8,2,33,59.2,0.0,0.0,5.9,46,-45688,1960211,26257,71945,Sánchez
9,69,94,LIV,1,False,2021-10-30T14:00:00Z,2.0,2.0,10,90,0,0,0,2,0,0,0,0,0,1,0,11,11.6,0.0,0.0,1.2,46,18431,1991624,65976,47545,Sánchez
10,69,103,NEW,-1,True,2021-11-06T17:30:00Z,1.0,1.0,11,90,0,0,0,1,0,0,0,0,1,1,0,1,0.0,10.0,0.0,0.9,46,7231,2009136,38299,31068,Sánchez
11,69,111,AVL,0,False,2021-11-20T15:00:00Z,2.0,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-344802,1656569,3652,348454,Sánchez
12,69,123,LEE,8,True,2021-11-27T17:30:00Z,0.0,0.0,13,90,0,0,1,0,0,0,0,0,0,4,1,29,33.2,0.0,0.0,3.3,46,-21290,1646164,10461,31751,Sánchez
13,69,136,WHU,4,False,2021-12-01T19:30:00Z,1.0,1.0,14,90,0,0,0,1,0,0,0,0,0,4,1,23,29.2,0.0,0.0,2.9,46,3843,1652925,16178,12335,Sánchez
14,69,146,SOU,3,False,2021-12-04T15:00:00Z,1.0,1.0,15,90,0,0,0,1,0,0,0,0,0,3,0,14,27.0,0.0,0.0,2.7,46,18433,1674209,31523,13090,Sánchez
15,69,163,WOL,0,True,2021-12-15T19:30:00Z,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,1419,1595544,25523,24104,Sánchez
0,237,7,NOR,6,False,2021-08-14T16:30:00Z,0.0,3.0,1,90,0,0,1,0,0,0,0,0,0,0,0,24,18.4,48.6,4.0,7.1,75,0,2245431,0,0,Alexander-Arnold
1,237,15,BUR,12,True,2021-08-21T11:30:00Z,2.0,0.0,2,90,0,1,1,0,0,0,0,0,0,0,3,50,54.0,100.9,27.0,18.2,75,-14721,2418233,68535,83256,Alexander-Arnold
2,237,23,CHE,4,True,2021-08-28T16:30:00Z,1.0,1.0,3,90,0,0,0,1,0,0,0,0,0,0,2,24,27.0,76.6,29.0,13.3,75,54202,2561556,153694,99492,Alexander-Arnold
3,237,36,LEE,12,False,2021-09-12T15:30:00Z,0.0,3.0,4,90,0,1,1,0,0,0,0,0,0,0,3,38,36.4,66.3,28.0,13.1,75,47235,2701011,308000,260765,Alexander-Arnold
4,237,44,CRY,0,True,2021-09-18T14:00:00Z,3.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,75,189303,2954867,287727,98424,Alexander-Arnold
5,237,52,BRE,1,False,2021-09-25T16:30:00Z,3.0,3.0,6,90,0,0,0,3,0,0,0,0,0,0,0,17,27.0,31.4,19.0,7.7,76,-146600,2808135,77031,223631,Alexander-Arnold
6,237,66,MCI,0,True,2021-10-03T15:30:00Z,2.0,2.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,75,-840977,1953112,32540,873517,Alexander-Arnold
7,237,80,WAT,6,False,2021-10-16T11:30:00Z,0.0,5.0,8,63,0,0,1,0,0,0,0,0,0,0,0,20,9.4,22.1,9.0,4.1,75,-57050,1935034,161730,218780,Alexander-Arnold
8,237,88,MUN,10,False,2021-10-24T15:30:00Z,0.0,5.0,9,90,0,1,1,0,0,0,0,0,0,0,1,46,39.4,43.2,11.0,9.4,75,50563,1996858,88651,38088,Alexander-Arnold
9,237,94,BHA,1,True,2021-10-30T14:00:00Z,2.0,2.0,10,90,0,0,0,2,0,0,0,0,0,0,0,15,16.2,15.8,5.0,3.7,76,347357,2398801,363661,16304,Alexander-Arnold
10,237,110,WHU,12,False,2021-11-07T16:30:00Z,3.0,2.0,11,90,1,1,0,3,0,0,0,1,0,0,3,39,66.6,61.3,19.0,14.7,76,57579,2449431,100832,43253,Alexander-Arnold
11,237,114,ARS,15,True,2021-11-20T17:30:00Z,4.0,0.0,12,90,0,2,1,0,0,0,0,0,0,0,3,55,46.8,51.1,45.0,14.3,77,180441,2657544,199872,19431,Alexander-Arnold
12,237,128,SOU,9,True,2021-11-27T15:00:00Z,4.0,0.0,13,90,0,1,1,0,0,0,0,0,0,0,0,31,33.4,31.3,4.0,6.9,79,524700,3212101,530421,5721,Alexander-Arnold
13,237,132,EVE,2,False,2021-12-01T20:15:00Z,1.0,4.0,14,90,0,0,0,1,0,0,0,0,0,0,0,22,17.6,34.6,7.0,5.9,80,142672,3351242,158929,16257,Alexander-Arnold
14,237,150,WOL,9,False,2021-12-04T15:00:00Z,0.0,1.0,15,90,0,0,1,0,0,0,0,0,0,0,3,30,22.0,65.8,7.0,9.5,80,93279,3454175,116484,23205,Alexander-Arnold
15,237,158,AVL,9,True,2021-12-11T15:00:00Z,1.0,0.0,16,90,0,0,1,0,0,0,0,0,0,0,3,31,12.4,45.6,14.0,7.2,81,94709,3572163,117754,23045,Alexander-Arnold
16,237,169,NEW,0,True,2021-12-16T20:00:00Z,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,82,170341,3765872,177122,6781,Alexander-Arnold
0,142,3,CRY,1,True,2021-08-14T14:00:00Z,3.0,0.0,1,23,0,0,0,0,0,0,0,0,0,0,0,4,2.2,2.1,2.0,0.6,55,0,465500,0,0,James
1,142,18,ARS,18,False,2021-08-22T15:30:00Z,0.0,2.0,2,90,1,1,1,0,0,0,0,0,0,0,3,57,74.6,54.5,65.0,19.4,55,-65552,430073,8042,73594,James
2,142,23,LIV,1,False,2021-08-28T16:30:00Z,1.0,1.0,3,47,0,1,0,1,0,0,0,0,1,0,0,-2,8.6,15.0,0.0,2.4,56,308746,833445,357269,48523,James
3,142,33,AVL,0,True,2021-09-11T16:30:00Z,3.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-267949,542544,55411,323360,James
4,142,48,TOT,0,False,2021-09-19T15:30:00Z,0.0,3.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,47951,628803,109524,61573,James
5,142,53,MCI,1,True,2021-09-25T11:30:00Z,0.0,1.0,6,28,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,56,-21771,612367,41565,63336,James
6,142,63,SOU,0,True,2021-10-02T14:00:00Z,3.0,1.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-164645,445104,6291,170936,James
7,142,73,BRE,1,False,2021-10-16T16:30:00Z,0.0,1.0,8,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,55,-26287,424380,38504,64791,James
8,142,84,NOR,13,True,2021-10-23T11:30:00Z,7.0,0.0,9,90,1,0,1,0,0,0,0,0,0,0,1,41,44.2,26.4,21.0,9.2,55,16070,445924,32885,16815,James
9,142,96,NEW,21,False,2021-10-30T14:00:00Z,0.0,3.0,10,90,2,0,1,0,0,0,0,0,0,0,3,63,84.4,43.9,53.0,18.1,56,170178,632772,186296,16118,James
10,142,104,BUR,7,True,2021-11-06T15:00:00Z,1.0,1.0,11,90,0,1,0,1,0,0,0,1,0,0,3,28,36.4,71.8,44.0,15.2,58,935082,1613162,941215,6133,James
11,142,113,LEI,12,False,2021-11-20T12:30:00Z,0.0,3.0,12,90,0,1,1,0,0,0,0,0,0,0,3,42,32.4,25.8,16.0,7.4,60,463701,2091478,482827,19126,James
12,142,125,MUN,1,True,2021-11-28T16:30:00Z,1.0,1.0,13,90,0,0,0,1,0,0,0,1,0,0,0,7,4.6,19.2,13.0,3.7,62,793757,2905652,812116,18359,James
13,142,135,WAT,0,False,2021-12-01T19:30:00Z,1.0,2.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,195941,3096922,259902,63961,James
14,142,149,WHU,0,False,2021-12-04T12:30:00Z,3.0,2.0,15,90,0,0,0,3,0,0,0,1,0,0,0,11,14.8,31.7,9.0,5.6,62,-111076,2986283,90640,201716,James
15,142,155,LEE,0,True,2021-12-11T15:00:00Z,3.0,2.0,16,90,0,0,0,2,0,0,0,1,0,0,0,12,13.8,38.2,3.0,5.5,62,138353,3162777,183974,45621,James
16,142,168,EVE,0,True,2021-12-16T19:45:00Z,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-25708,3126030,102226,127934,James
0,370,10,MCI,7,True,2021-08-15T15:30:00Z,1.0,0.0,1,90,0,0,1,0,0,0,0,0,0,0,1,22,10.4,25.3,2.0,3.8,50,0,188039,0,0,Reguilón
1,370,17,WOL,6,False,2021-08-22T13:00:00Z,0.0,1.0,2,90,0,0,1,0,0,0,0,0,0,0,0,24,19.2,4.3,0.0,2.4,50,78316,340874,99578,21262,Reguilón
2,370,27,WAT,9,True,2021-08-29T13:00:00Z,1.0,0.0,3,90,0,0,1,0,0,0,0,0,0,0,3,31,13.8,17.4,10.0,4.1,51,204205,585442,242277,38072,Reguilón
3,370,34,CRY,1,False,2021-09-11T11:30:00Z,3.0,0.0,4,90,0,0,0,3,0,0,0,0,0,0,0,8,26.2,14.7,2.0,4.3,52,392106,1079250,546146,154040,Reguilón
4,370,48,CHE,1,True,2021-09-19T15:30:00Z,0.0,3.0,5,90,0,0,0,3,0,0,0,0,0,0,0,16,14.8,11.8,2.0,2.9,52,-108285,948824,78695,186980,Reguilón
5,370,51,ARS,4,False,2021-09-26T15:30:00Z,3.0,1.0,6,90,0,1,0,3,0,0,0,0,0,0,0,26,35.4,32.0,2.0,6.9,52,-49444,916705,51839,101283,Reguilón
6,370,68,AVL,2,True,2021-10-03T13:00:00Z,2.0,1.0,7,90,0,0,0,1,0,0,0,0,0,0,0,15,31.4,6.7,2.0,4.0,51,-24140,902849,50905,75045,Reguilón
7,370,77,NEW,4,False,2021-10-17T15:30:00Z,2.0,3.0,8,90,0,1,0,2,0,0,0,0,0,0,0,21,24.0,13.9,4.0,4.2,51,-33154,873676,32236,65390,Reguilón
8,370,90,WHU,2,False,2021-10-24T13:00:00Z,1.0,0.0,9,83,0,0,0,1,0,0,0,0,0,0,0,12,20.4,34.8,1.0,5.6,51,-19395,856800,26559,45954,Reguilón
9,370,98,MUN,0,True,2021-10-30T16:30:00Z,0.0,3.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-50944,808564,20208,71152,Reguilón
10,370,106,EVE,5,False,2021-11-07T14:00:00Z,0.0,0.0,11,70,0,0,1,0,0,0,0,1,0,0,0,13,6.4,16.1,24.0,4.7,50,-7932,807644,52135,60067,Reguilón
11,370,118,LEE,9,True,2021-11-21T16:30:00Z,2.0,1.0,12,78,1,0,0,1,0,0,0,0,0,0,1,26,51.0,15.2,57.0,12.3,50,104836,922816,135526,30690,Reguilón
12,370,140,BRE,12,True,2021-12-02T19:30:00Z,2.0,0.0,14,90,0,1,1,0,0,0,0,0,0,0,3,35,29.8,26.8,6.0,6.3,51,92908,1198859,115811,22903,Reguilón
13,370,147,NOR,0,True,2021-12-05T14:00:00Z,3.0,0.0,15,21,0,0,0,0,0,0,0,1,0,0,0,1,1.0,0.6,0.0,0.2,52,364726,1579507,376416,11690,Reguilón
14,370,166,LEI,0,False,2021-12-16T19:30:00Z,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-150443,1126412,11883,162326,Reguilón
0,144,3,CHE,0,False,2021-08-14T14:00:00Z,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,2134,0,0,Gallagher
1,144,13,BRE,3,True,2021-08-21T14:00:00Z,0.0,0.0,2,90,0,0,1,0,0,0,0,0,0,0,0,6,13.0,15.7,25.0,5.4,55,295,3592,633,338,Gallagher
2,144,28,WHU,15,False,2021-08-28T14:00:00Z,2.0,2.0,3,90,2,0,0,2,0,0,0,0,0,0,3,50,79.8,24.1,54.0,15.8,55,373,4575,1048,675,Gallagher
3,144,34,TOT,8,True,2021-09-11T11:30:00Z,3.0,0.0,4,90,0,2,1,0,0,0,0,1,0,0,0,21,25.2,38.2,92.0,15.5,55,86510,111968,118975,32465,Gallagher
4,144,44,LIV,2,False,2021-09-18T14:00:00Z,3.0,0.0,5,90,0,0,0,3,0,0,0,0,0,0,0,4,7.4,34.6,8.0,5.0,56,297817,436828,368703,70886,Gallagher
5,144,54,BHA,4,True,2021-09-27T19:00:00Z,1.0,1.0,6,90,0,1,0,1,0,0,0,1,0,0,0,12,13.4,3.6,26.0,4.3,57,204384,654258,245214,40830,Gallagher
6,144,64,LEI,2,True,2021-10-03T13:00:00Z,2.0,2.0,7,70,0,0,0,2,0,0,0,0,0,0,0,1,6.6,12.3,35.0,5.4,57,40803,693548,95005,54202,Gallagher
7,144,71,ARS,2,False,2021-10-18T19:00:00Z,2.0,2.0,8,90,0,0,0,2,0,0,0,0,0,0,0,8,12.8,1.8,15.0,3.0,57,-33831,659948,42727,76558,Gallagher
8,144,85,NEW,2,True,2021-10-23T14:00:00Z,1.0,1.0,9,85,0,0,0,1,0,0,0,0,0,0,0,15,14.4,32.8,14.0,6.1,57,7427,673264,56139,48712,Gallagher
9,144,95,MCI,13,False,2021-10-30T14:00:00Z,0.0,2.0,10,90,1,1,1,0,0,0,0,1,0,0,3,38,76.8,49.5,34.0,16.0,56,-105414,563497,12872,118286,Gallagher
10,144,105,WOL,11,True,2021-11-06T15:00:00Z,2.0,0.0,11,90,1,0,1,0,0,0,0,0,0,0,3,31,51.0,60.2,24.0,13.5,57,382382,975846,396449,14067,Gallagher
11,144,112,BUR,5,False,2021-11-20T15:00:00Z,3.0,3.0,12,80,0,1,0,3,0,0,0,0,0,0,0,29,32.6,40.8,23.0,9.6,59,858326,1862397,870287,11961,Gallagher
12,144,126,AVL,2,True,2021-11-27T15:00:00Z,1.0,2.0,13,90,0,0,0,2,0,0,0,0,0,0,0,14,19.6,30.4,4.0,5.4,61,543543,2413099,565174,21631,Gallagher
13,144,133,LEE,1,False,2021-11-30T20:15:00Z,1.0,0.0,14,90,0,0,0,1,0,0,0,1,0,0,0,7,12.2,8.6,28.0,4.9,61,130337,2538755,184247,53910,Gallagher
14,144,144,MUN,2,False,2021-12-05T14:00:00Z,1.0,0.0,15,90,0,0,0,1,0,0,0,0,0,0,0,17,15.0,33.7,1.0,5.0,62,-255995,2277696,53865,309860,Gallagher
15,144,156,EVE,15,True,2021-12-12T16:30:00Z,3.0,1.0,16,90,2,0,0,1,0,0,0,0,0,0,3,51,89.0,43.4,66.0,19.8,61,-153941,2122249,68518,222459,Gallagher
16,144,165,SOU,0,True,2021-12-15T19:30:00Z,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,315482,2481802,353025,37543,Gallagher
0,233,7,NOR,17,False,2021-08-14T16:30:00Z,0.0,3.0,1,90,1,2,1,0,0,0,0,0,0,0,3,49,70.6,36.4,70.0,17.7,125,0,3548693,0,0,Salah
1,233,15,BUR,3,True,2021-08-21T11:30:00Z,2.0,0.0,2,90,0,0,1,0,0,0,0,0,0,0,0,5,6.4,26.1,78.0,11.1,126,227931,4181298,258463,30532,Salah
2,233,23,CHE,10,True,2021-08-28T16:30:00Z,1.0,1.0,3,90,1,0,0,1,0,0,0,0,0,0,3,27,46.8,45.1,48.0,14.0,126,-203411,4031662,89165,292576,Salah
3,233,36,LEE,8,False,2021-09-12T15:30:00Z,0.0,3.0,4,90,1,0,1,0,0,0,0,0,0,0,0,28,47.0,53.2,77.0,17.7,125,126513,4316524,335798,209285,Salah
4,233,44,CRY,12,True,2021-09-18T14:00:00Z,3.0,0.0,5,90,1,1,1,0,0,0,0,1,0,0,2,29,53.0,28.9,115.0,19.7,125,121907,4498374,221690,99783,Salah
5,233,52,BRE,7,False,2021-09-25T16:30:00Z,3.0,3.0,6,90,1,0,0,3,0,0,0,0,0,0,0,19,36.8,14.5,47.0,9.8,126,243759,4808143,271173,27414,Salah
6,233,66,MCI,13,True,2021-10-03T15:30:00Z,2.0,2.0,7,90,1,1,0,2,0,0,0,0,0,0,3,47,70.2,30.2,57.0,15.7,126,96385,4916925,162954,66569,Salah
7,233,80,WAT,13,False,2021-10-16T11:30:00Z,0.0,5.0,8,90,1,1,1,0,0,0,0,0,0,0,2,43,64.0,30.5,91.0,18.6,127,306885,5296809,317190,10305,Salah
8,233,88,MUN,24,False,2021-10-24T15:30:00Z,0.0,5.0,9,90,3,1,1,0,0,0,0,0,0,0,3,76,121.2,33.3,90.0,24.5,128,247160,5565682,269688,22528,Salah
9,233,94,BHA,5,True,2021-10-30T14:00:00Z,2.0,2.0,10,90,0,1,0,2,0,0,0,0,0,0,0,25,27.6,25.1,51.0,10.4,129,386195,6023450,391578,5383,Salah
10,233,110,WHU,5,False,2021-11-07T16:30:00Z,3.0,2.0,11,90,0,1,0,3,0,0,0,0,0,0,0,16,19.6,25.2,38.0,8.3,129,70355,6116608,89400,19045,Salah
11,233,114,ARS,8,True,2021-11-20T17:30:00Z,4.0,0.0,12,90,1,0,1,0,0,0,0,0,0,0,0,23,40.0,25.1,93.0,15.8,130,46997,6199228,65451,18454,Salah
12,233,128,SOU,6,True,2021-11-27T15:00:00Z,4.0,0.0,13,90,0,1,1,0,0,0,0,0,0,0,0,13,16.8,25.3,61.0,10.3,130,67466,6294628,74054,6588,Salah
13,233,132,EVE,15,False,2021-12-01T20:15:00Z,1.0,4.0,14,90,2,0,0,1,0,0,0,0,0,0,3,42,69.2,5.4,69.0,14.4,130,4839,6310003,24856,20017,Salah
14,233,150,WOL,6,False,2021-12-04T15:00:00Z,0.0,1.0,15,90,0,1,1,0,0,0,0,0,0,0,0,12,25.8,39.8,31.0,9.7,130,44723,6375874,53975,9252,Salah
15,233,158,AVL,8,True,2021-12-11T15:00:00Z,1.0,0.0,16,90,1,0,1,0,0,0,0,0,0,0,0,21,39.2,10.2,103.0,15.2,131,15912,6414019,35805,19893,Salah
16,233,169,NEW,0,True,2021-12-16T20:00:00Z,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,131,33457,6467029,38580,5123,Salah
0,265,10,TOT,0,False,2021-08-15T15:30:00Z,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,80,0,105611,0,0,Foden
1,265,16,NOR,0,True,2021-08-21T14:00:00Z,5.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,79,-38785,68816,899,39684,Foden
2,265,24,ARS,0,True,2021-08-28T11:30:00Z,5.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,79,-14835,56761,553,15388,Foden
3,265,37,LEI,0,False,2021-09-11T14:00:00Z,0.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,79,-7849,50573,1601,9450,Foden
4,265,45,SOU,1,True,2021-09-18T14:00:00Z,0.0,0.0,5,18,0,0,0,0,0,0,0,0,0,0,0,1,4.0,5.5,21.0,3.1,79,2470,57155,6400,3930,Foden
5,265,53,CHE,3,False,2021-09-25T11:30:00Z,0.0,1.0,6,86,0,0,1,0,0,0,0,0,0,0,0,12,10.0,58.3,4.0,7.2,79,4241,64912,9040,4799,Foden
6,265,66,LIV,7,False,2021-10-03T15:30:00Z,2.0,2.0,7,90,1,0,0,2,0,0,0,0,0,0,0,18,45.4,22.3,62.0,13.0,79,8102,75918,13085,4983,Foden
7,265,76,BUR,6,True,2021-10-16T14:00:00Z,2.0,0.0,8,90,0,1,1,0,0,0,0,0,0,0,0,16,8.6,10.1,48.0,6.7,80,267612,362595,299262,31650,Foden
8,265,83,BHA,18,False,2021-10-23T16:30:00Z,1.0,4.0,9,90,2,1,0,1,0,0,0,0,0,0,3,61,91.4,25.3,148.0,26.5,80,106204,470363,134186,27982,Foden
9,265,95,CRY,2,True,2021-10-30T14:00:00Z,0.0,2.0,10,90,0,0,0,2,0,0,0,0,0,0,0,3,6.2,33.4,4.0,4.4,82,682002,1206304,697016,15014,Foden
10,265,108,MUN,3,False,2021-11-06T12:30:00Z,0.0,2.0,11,90,0,0,1,0,0,0,0,0,0,0,0,9,6.8,34.7,14.0,5.6,82,63744,1247987,133768,70024,Foden
11,265,115,EVE,1,True,2021-11-21T14:00:00Z,3.0,0.0,12,57,0,0,0,0,0,0,0,0,0,0,0,13,3.2,21.4,8.0,3.3,83,-42806,1214380,127517,170323,Foden
12,265,129,WHU,0,True,2021-11-28T14:00:00Z,2.0,1.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,83,-242218,970034,30748,272966,Foden
13,265,131,AVL,0,False,2021-12-01T20:15:00Z,1.0,2.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,82,-290465,683178,2851,293316,Foden
14,265,148,WAT,7,False,2021-12-04T17:30:00Z,1.0,3.0,15,74,0,1,0,1,0,0,0,0,0,0,2,35,32.8,58.8,29.0,12.1,81,-85100,603285,28184,113284,Foden
15,265,159,WOL,1,True,2021-12-11T12:30:00Z,1.0,0.0,16,34,0,0,0,0,0,0,0,0,0,0,0,5,6.8,17.7,35.0,6.0,81,-83217,515766,25394,108611,Foden
16,265,170,LEE,12,True,2021-12-14T20:00:00Z,7.0,0.0,17,90,1,1,1,0,0,0,0,0,0,0,1,46,62.2,65.3,51.0,17.9,80,41482,573382,79990,38508,Foden
0,240,7,NOR,8,False,2021-08-14T16:30:00Z,0.0,3.0,1,60,1,0,1,0,0,0,0,0,0,0,0,21,37.8,1.9,36.0,7.6,75,0,777536,0,0,Jota
1,240,15,BUR,8,True,2021-08-21T11:30:00Z,2.0,0.0,2,80,1,0,1,0,0,0,0,0,0,0,0,25,45.2,24.8,37.0,10.7,75,77273,968642,149876,72603,Jota
2,240,23,CHE,1,True,2021-08-28T16:30:00Z,1.0,1.0,3,47,0,0,0,0,0,0,0,0,0,0,0,1,4.2,6.3,63.0,7.4,76,154435,1184840,273977,119542,Jota
3,240,36,LEE,3,False,2021-09-12T15:30:00Z,0.0,3.0,4,81,0,0,1,0,0,0,0,0,0,0,0,22,17.8,64.4,47.0,12.9,76,399068,1636980,674300,275232,Jota
4,240,44,CRY,3,True,2021-09-18T14:00:00Z,3.0,0.0,5,75,0,0,1,0,0,0,0,0,0,0,0,1,10.0,11.7,34.0,5.6,77,105657,1752352,287657,182000,Jota
